"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
12858,6/30/2024 0:00:00,6459,"TEXAS TECH",634,"Texas Tech Credit Union"
13190,6/30/2024 0:00:00,6656,"LISBON COMMUNITY",887,"LISBON CU"
13190,6/30/2024 0:00:00,6656,"LISBON COMMUNITY",888,"LCFCU"
13190,6/30/2024 0:00:00,6656,"LISBON COMMUNITY",1037,"Lisbon Credit Union"
13495,6/30/2024 0:00:00,6821,"COUNTY SCHOOLS",352,"County Schools FCU"
13495,6/30/2024 0:00:00,6821,"COUNTY SCHOOLS",965,"CSFCU"
13828,6/30/2024 0:00:00,7051,"ALLSOUTH",77,"AllSouth"
13852,6/30/2024 0:00:00,7065,"THE BRIDGEWAY",1017,"Bridgeway Credit Union"
13898,6/30/2024 0:00:00,7094,"ENDURANCE",476,"EFCU"
13902,6/30/2024 0:00:00,7097,"FICARE",1041,"FiCare, Healthcare's Financial Partner"
13940,6/30/2024 0:00:00,7123,"BUSINESS AND INDUSTRIAL",513,"dba   B & I Federal Credit Union"
14011,6/30/2024 0:00:00,7162,"BERRIEN TEACHERS",1073,"N/A"
14369,6/30/2024 0:00:00,7380,"THE DISTRICT",18,"Aurora Schools Federal Credit Un"
14369,6/30/2024 0:00:00,7380,"THE DISTRICT",19,"Aurora Schools Credit Union"
14369,6/30/2024 0:00:00,7380,"THE DISTRICT",20,"ASFCU"
14369,6/30/2024 0:00:00,7380,"THE DISTRICT",863,"The District Federal Credit Union"
14369,6/30/2024 0:00:00,7380,"THE DISTRICT",864,"The District Credit Union"
14384,6/30/2024 0:00:00,7387,"MISSION",103,"MissionFed.com"
14384,6/30/2024 0:00:00,7387,"MISSION",104,"Mission Federal"
14384,6/30/2024 0:00:00,7387,"MISSION",105,"Mission Fed"
14384,6/30/2024 0:00:00,7387,"MISSION",709,"Mission Fed Credit Union"
14425,6/30/2024 0:00:00,7414,"INGERSOLL-RAND",1123,"IRFCU"
14692,6/30/2024 0:00:00,7576,"ONPATH",1121,"OnPath Credit Union"
14762,6/30/2024 0:00:00,7621,"JSC",1015,"Wellby Financial"
14850,6/30/2024 0:00:00,7676,"PLYMOUTH COUNTY TEACHERS",255,"PCT Federal Credit Union"
14874,6/30/2024 0:00:00,7687,"EXPLORERS",351,"Explorers Federal Credit Union"
14874,6/30/2024 0:00:00,7687,"EXPLORERS",882,"Explorers Credit Union"
